Jahr;Gas-BW;Gas-HW;Öl-BW;Öl-HW;Wärmepumpe;Biomasse;Solaranlagen
2005;288120;211680;21315;163905;19110;30870;100000
2006;349758;152400;38862;118110;48768;54102;140000
2007;271150;112200;36850;65450;45650;18700;90000
2008;308013;106382;58139;47006;62468,5;36491,5;210000
2009;330484;109098;72094;44022;54868;27434;150000
2010;336262,5;110250;58800;37362,5;50837,5;18987,5;120000
2011;356643;106301;54723;28305;57239;25789;150000
2012;383795;107332,5;46836;23418;59846;29272,5;136000
2013;421511;109840;45995,5;21281,5;60412;27460;140000
2014;412686;106917;46308;21111;57885;36093;110000
2015;439490;103660;60350;19880;56800;29820;101000
2016;456323;70737;67269,5;4161;66576;28433,5;80000
2017;472768;71912;59808;2848;78320;26344;78000
2018;491904;69540;58560;3660;84180;24156;71000
2019;517616;69564;48620;2992;86768;22440;71000
2020;553194;69886;42100;2526;120406;53888;83000
